{12, 14, 15, 17}
{3, 12, 13, 20}
{2, 14, 15, 17}
{2, 12, 14, 17}
{2, 8, 14, 15}
{2, 8, 12, 17}
{2, 8, 12, 14}
{1, 2, 8, 11}
{15, 16, 18}
{15, 16, 17}
{14, 15, 16}
{12, 17, 20}
{12, 14, 20}
{12, 13, 17}
{12, 13, 14}
{11, 12, 20}
{10, 16, 18}
{9, 11, 20}
{8, 12, 20}
{8, 12, 13}
{7, 14, 15}
{7, 12, 14}
{7, 8, 14}
{5, 10, 18}
{4, 12, 20}
{4, 11, 20}
{4, 10, 20}
{4, 10, 18}
{4, 10, 11}
{4, 9, 11}
{4, 5, 10}
{3, 18, 20}
{3, 16, 20}
{3, 16, 18}
{3, 15, 16}
{3, 13, 18}
{3, 13, 16}
{3, 11, 20}
{3, 10, 18}
{3, 4, 20}
{2, 15, 16}
{2, 11, 20}
{2, 11, 17}
{2, 11, 15}
{2, 11, 14}
{2, 9, 11}
{2, 7, 14}
{2, 4, 11}
{1, 11, 20}
{1, 9, 11}
{1, 8, 14}
{1, 8, 12}
{1, 6, 11}
{1, 6, 8}
{1, 4, 11}
{19, 20}
{18, 19}
{17, 19}
{17, 18}
{16, 19}
{15, 20}
{15, 19}
{14, 19}
{14, 18}
{13, 19}
{13, 15}
{12, 19}
{12, 18}
{12, 16}
{11, 19}
{11, 18}
{11, 16}
{11, 13}
{10, 19}
{10, 17}
{10, 15}
{10, 14}
{10, 13}
{10, 12}
{9, 19}
{9, 18}
{9, 17}
{9, 16}
{9, 15}
{9, 14}
{9, 13}
{9, 12}
{9, 10}
{8, 19}
{8, 18}
{8, 16}
{8, 10}
{8, 9}
{7, 20}
{7, 19}
{7, 18}
{7, 17}
{7, 16}
{7, 13}
{7, 11}
{7, 10}
{7, 9}
{6, 20}
{6, 19}
{6, 18}
{6, 17}
{6, 16}
{6, 15}
{6, 14}
{6, 13}
{6, 12}
{6, 10}
{6, 9}
{6, 7}
{5, 20}
{5, 19}
{5, 17}
{5, 16}
{5, 15}
{5, 14}
{5, 13}
{5, 12}
{5, 11}
{5, 9}
{5, 8}
{5, 7}
{5, 6}
{4, 19}
{4, 17}
{4, 16}
{4, 15}
{4, 14}
{4, 13}
{4, 8}
{4, 7}
{4, 6}
{3, 19}
{3, 17}
{3, 14}
{3, 9}
{3, 8}
{3, 7}
{3, 6}
{3, 5}
{2, 19}
{2, 18}
{2, 13}
{2, 10}
{2, 6}
{2, 5}
{2, 3}
{1, 19}
{1, 18}
{1, 17}
{1, 16}
{1, 15}
{1, 13}
{1, 10}
{1, 7}
{1, 5}
{1, 3}
