{18, 28, 29, 32, 40}
{14, 18, 28, 29, 32}
{13, 28, 35, 37, 48}
{5, 26, 28, 35, 48}
{4, 29, 35, 40, 48}
{4, 28, 35, 38, 48}
{4, 28, 29, 35, 48}
{4, 26, 28, 35, 48}
{4, 26, 28, 29, 48}
{4, 18, 28, 29, 48}
{4, 14, 28, 29, 48}
{4, 14, 20, 28, 29}
{4, 14, 18, 28, 29}
{4, 9, 35, 40, 48}
{4, 9, 35, 38, 48}
{4, 9, 35, 38, 40}
{4, 9, 29, 40, 48}
{4, 9, 13, 40, 48}
{4, 9, 13, 26, 48}
{4, 5, 26, 35, 48}
{2, 5, 16, 34, 43}
{1, 5, 41, 42, 50}
{1, 5, 8, 26, 41}
{35, 37, 47, 48}
{34, 35, 40, 43}
{33, 37, 44, 47}
{33, 37, 42, 48}
{32, 39, 40, 49}
{32, 37, 44, 47}
{32, 35, 40, 43}
{32, 35, 37, 43}
{32, 35, 37, 40}
{32, 34, 40, 43}
{32, 33, 37, 44}
{31, 32, 49, 50}
{30, 34, 37, 47}
{28, 38, 41, 42}
{28, 35, 42, 48}
{28, 32, 37, 48}
{28, 32, 35, 43}
{28, 32, 35, 40}
{28, 32, 35, 37}
{28, 32, 33, 42}
{28, 29, 42, 48}
{28, 29, 35, 40}
{27, 39, 45, 49}
{27, 34, 44, 47}
{27, 32, 44, 49}
{26, 44, 47, 48}
{26, 41, 42, 48}
{26, 38, 41, 45}
{26, 34, 47, 48}
{26, 34, 44, 47}
{26, 33, 42, 48}
{26, 33, 41, 42}
{26, 33, 37, 48}
{26, 32, 33, 44}
{26, 28, 42, 48}
{26, 28, 41, 42}
{26, 28, 38, 45}
{26, 28, 38, 41}
{26, 28, 33, 42}
{26, 28, 32, 44}
{26, 28, 32, 33}
{26, 27, 44, 45}
{26, 27, 34, 45}
{26, 27, 34, 44}
{25, 35, 37, 48}
{25, 32, 35, 43}
{25, 32, 35, 40}
{25, 32, 35, 37}
{25, 32, 33, 37}
{25, 28, 32, 35}
{25, 26, 37, 48}
{25, 26, 35, 48}
{25, 26, 33, 37}
{25, 26, 32, 44}
{25, 26, 32, 33}
{25, 26, 28, 35}
{25, 26, 28, 32}
{23, 26, 41, 45}
{23, 25, 26, 41}
{22, 38, 41, 45}
{21, 35, 37, 38}
{21, 23, 38, 41}
{21, 23, 25, 37}
{19, 20, 32, 49}
{18, 39, 40, 45}
{18, 32, 36, 44}
{18, 32, 34, 43}
{18, 32, 34, 40}
{18, 29, 34, 40}
{18, 28, 38, 45}
{18, 28, 35, 40}
{18, 27, 34, 45}
{18, 26, 34, 45}
{18, 26, 28, 45}
{18, 26, 28, 34}
{18, 24, 34, 47}
{18, 24, 32, 49}
{18, 22, 24, 36}
{18, 20, 28, 32}
{17, 35, 38, 43}
{17, 30, 34, 43}
{17, 26, 38, 45}
{17, 26, 38, 41}
{17, 26, 34, 43}
{17, 26, 30, 34}
{17, 26, 28, 38}
{17, 22, 38, 41}
{17, 22, 26, 41}
{16, 28, 35, 43}
{16, 28, 32, 43}
{16, 26, 28, 34}
{16, 18, 28, 34}
{15, 36, 44, 47}
{15, 35, 47, 48}
{15, 35, 37, 47}
{15, 30, 37, 47}
{15, 30, 35, 37}
{15, 30, 34, 47}
{15, 23, 25, 35}
{15, 17, 35, 43}
{15, 17, 35, 38}
{15, 17, 23, 26}
{15, 17, 22, 36}
{14, 29, 32, 40}
{14, 21, 32, 37}
{14, 21, 28, 38}
{14, 20, 28, 32}
{14, 19, 32, 49}
{14, 19, 20, 32}
{14, 19, 20, 28}
{14, 17, 32, 43}
{14, 17, 28, 38}
{14, 17, 26, 28}
{14, 17, 21, 38}
{13, 39, 45, 49}
{13, 39, 40, 49}
{13, 39, 40, 45}
{13, 37, 47, 48}
{13, 35, 40, 48}
{13, 35, 37, 40}
{13, 32, 40, 49}
{13, 32, 37, 49}
{13, 32, 37, 40}
{13, 29, 40, 48}
{13, 28, 42, 48}
{13, 28, 38, 45}
{13, 28, 35, 40}
{13, 28, 32, 49}
{13, 28, 32, 40}
{13, 28, 32, 37}
{13, 28, 29, 48}
{13, 28, 29, 40}
{13, 27, 45, 49}
{13, 26, 45, 48}
{13, 26, 41, 45}
{13, 26, 37, 48}
{13, 26, 36, 44}
{13, 26, 34, 40}
{13, 26, 33, 37}
{13, 26, 28, 48}
{13, 26, 28, 45}
{13, 25, 26, 37}
{13, 18, 40, 45}
{13, 18, 36, 45}
{13, 18, 36, 40}
{13, 18, 28, 45}
{13, 18, 28, 40}
{13, 18, 28, 36}
{13, 17, 38, 45}
{13, 17, 30, 37}
{13, 17, 28, 38}
{13, 17, 26, 48}
{13, 17, 26, 45}
{13, 17, 26, 28}
{13, 17, 22, 36}
{13, 15, 17, 36}
{13, 14, 17, 28}
{11, 37, 46, 48}
{11, 26, 46, 48}
{11, 26, 37, 48}
{11, 26, 33, 37}
{11, 26, 27, 45}
{11, 26, 27, 44}
{11, 26, 27, 34}
{11, 25, 26, 37}
{11, 20, 32, 37}
{11, 20, 26, 28}
{11, 14, 32, 37}
{11, 14, 26, 28}
{11, 14, 21, 37}
{11, 14, 20, 32}
{11, 14, 20, 28}
{11, 14, 19, 20}
{11, 14, 17, 26}
{11, 13, 26, 37}
{10, 16, 34, 43}
{9, 31, 32, 40}
{9, 28, 38, 48}
{9, 24, 47, 48}
{9, 22, 24, 38}
{9, 20, 32, 40}
{9, 20, 31, 32}
{9, 20, 28, 48}
{9, 20, 28, 38}
{9, 18, 24, 40}
{9, 13, 38, 45}
{9, 13, 37, 48}
{9, 13, 28, 48}
{9, 13, 28, 38}
{9, 13, 24, 49}
{9, 13, 20, 28}
{9, 13, 17, 38}
{8, 39, 41, 45}
{8, 27, 41, 45}
{8, 27, 39, 49}
{8, 27, 39, 45}
{8, 26, 41, 45}
{8, 26, 39, 45}
{8, 26, 27, 45}
{8, 26, 27, 44}
{8, 26, 27, 34}
{8, 23, 26, 41}
{8, 22, 38, 41}
{8, 22, 26, 41}
{8, 17, 22, 26}
{8, 15, 23, 41}
{8, 15, 23, 26}
{8, 15, 22, 36}
{8, 15, 17, 26}
{8, 15, 17, 22}
{8, 11, 26, 27}
{7, 39, 45, 49}
{7, 27, 45, 49}
{7, 26, 41, 45}
{7, 26, 36, 44}
{7, 18, 36, 45}
{7, 13, 45, 49}
{7, 13, 36, 49}
{7, 13, 36, 45}
{7, 13, 26, 49}
{7, 13, 26, 45}
{7, 13, 26, 36}
{7, 10, 26, 34}
{6, 42, 49, 50}
{6, 32, 33, 42}
{6, 28, 32, 42}
{6, 22, 41, 42}
{6, 22, 24, 49}
{6, 17, 32, 43}
{6, 17, 22, 38}
{6, 14, 17, 32}
{6, 13, 42, 48}
{6, 13, 32, 49}
{6, 13, 32, 40}
{6, 13, 32, 37}
{6, 13, 28, 42}
{6, 13, 28, 32}
{6, 13, 22, 36}
{6, 13, 17, 49}
{6, 13, 17, 26}
{6, 13, 17, 22}
{6, 8, 41, 42}
{6, 8, 39, 49}
{6, 8, 27, 49}
{6, 8, 22, 41}
{6, 8, 17, 26}
{6, 8, 17, 22}
{6, 8, 15, 17}
{6, 8, 13, 26}
{6, 7, 10, 49}
{5, 42, 48, 50}
{5, 41, 42, 48}
{5, 35, 43, 48}
{5, 35, 38, 41}
{5, 35, 37, 48}
{5, 26, 41, 50}
{5, 26, 41, 48}
{5, 26, 41, 45}
{5, 26, 34, 43}
{5, 25, 26, 35}
{5, 23, 41, 50}
{5, 23, 26, 48}
{5, 23, 26, 41}
{5, 23, 25, 35}
{5, 23, 25, 26}
{5, 17, 26, 43}
{5, 16, 35, 43}
{5, 16, 28, 48}
{5, 16, 28, 35}
{5, 16, 26, 34}
{5, 16, 26, 28}
{5, 15, 23, 35}
{5, 13, 26, 48}
{4, 35, 37, 48}
{4, 28, 29, 38}
{4, 26, 38, 45}
{4, 26, 38, 41}
{4, 26, 34, 40}
{4, 26, 28, 38}
{4, 25, 26, 35}
{4, 20, 32, 40}
{4, 20, 28, 48}
{4, 20, 28, 38}
{4, 20, 28, 35}
{4, 20, 26, 28}
{4, 18, 38, 45}
{4, 18, 35, 40}
{4, 18, 34, 40}
{4, 18, 32, 40}
{4, 18, 29, 40}
{4, 18, 28, 38}
{4, 18, 28, 35}
{4, 18, 26, 45}
{4, 18, 26, 34}
{4, 18, 26, 28}
{4, 18, 20, 32}
{4, 18, 20, 28}
{4, 17, 26, 38}
{4, 14, 32, 40}
{4, 14, 29, 40}
{4, 14, 28, 38}
{4, 14, 28, 35}
{4, 14, 26, 28}
{4, 14, 21, 38}
{4, 14, 20, 32}
{4, 14, 19, 20}
{4, 14, 18, 32}
{4, 14, 17, 38}
{4, 14, 17, 26}
{4, 13, 26, 40}
{4, 11, 20, 26}
{4, 11, 14, 26}
{4, 11, 14, 20}
{4, 9, 20, 48}
{4, 9, 20, 40}
{4, 9, 20, 38}
{4, 9, 18, 40}
{4, 9, 18, 24}
{4, 9, 14, 20}
{4, 6, 42, 48}
{4, 6, 32, 40}
{4, 6, 22, 38}
{4, 6, 20, 32}
{4, 6, 18, 32}
{4, 6, 17, 38}
{4, 6, 17, 26}
{4, 6, 14, 32}
{4, 6, 14, 17}
{4, 6, 13, 48}
{4, 6, 13, 40}
{4, 6, 13, 26}
{4, 6, 9, 13}
{4, 6, 8, 26}
{3, 37, 44, 47}
{3, 35, 37, 43}
{3, 33, 37, 44}
{3, 32, 43, 44}
{3, 32, 37, 44}
{3, 32, 37, 43}
{3, 28, 38, 45}
{3, 28, 37, 48}
{3, 28, 35, 43}
{3, 28, 35, 37}
{3, 28, 32, 44}
{3, 28, 32, 43}
{3, 28, 32, 37}
{3, 27, 44, 45}
{3, 26, 44, 45}
{3, 26, 28, 45}
{3, 26, 28, 44}
{3, 25, 35, 43}
{3, 25, 35, 37}
{3, 25, 32, 44}
{3, 25, 32, 43}
{3, 25, 32, 37}
{3, 25, 28, 35}
{3, 25, 28, 32}
{3, 25, 26, 45}
{3, 25, 26, 44}
{3, 25, 26, 28}
{3, 18, 36, 44}
{3, 18, 34, 43}
{3, 18, 32, 44}
{3, 18, 32, 43}
{3, 18, 32, 37}
{3, 18, 28, 45}
{3, 18, 28, 32}
{3, 18, 28, 29}
{3, 18, 25, 32}
{3, 16, 28, 43}
{3, 13, 37, 45}
{3, 13, 28, 45}
{3, 13, 28, 37}
{3, 8, 41, 45}
{3, 8, 39, 45}
{3, 8, 27, 45}
{3, 8, 27, 44}
{3, 8, 26, 45}
{3, 8, 26, 44}
{3, 8, 26, 28}
{3, 8, 25, 26}
{2, 34, 44, 47}
{2, 32, 43, 44}
{2, 29, 46, 48}
{2, 29, 34, 40}
{2, 27, 34, 44}
{2, 26, 34, 44}
{2, 22, 41, 50}
{2, 22, 36, 44}
{2, 18, 29, 34}
{2, 17, 22, 43}
{2, 16, 28, 29}
{2, 11, 27, 44}
{2, 11, 27, 34}
{2, 11, 26, 44}
{2, 11, 26, 34}
{2, 11, 14, 29}
{2, 10, 16, 34}
{2, 6, 49, 50}
{2, 6, 42, 50}
{2, 6, 32, 44}
{2, 6, 32, 43}
{2, 6, 17, 43}
{2, 6, 17, 22}
{2, 6, 10, 34}
{2, 6, 10, 16}
{2, 6, 8, 22}
{2, 5, 46, 48}
{2, 5, 43, 50}
{2, 5, 41, 50}
{2, 5, 35, 43}
{2, 5, 29, 48}
{2, 5, 26, 44}
{2, 5, 26, 34}
{2, 5, 22, 41}
{2, 5, 16, 50}
{2, 5, 11, 26}
{2, 4, 6, 29}
{2, 3, 43, 44}
{1, 39, 49, 50}
{1, 39, 41, 45}
{1, 35, 42, 48}
{1, 35, 39, 40}
{1, 35, 38, 41}
{1, 32, 49, 50}
{1, 32, 39, 49}
{1, 32, 39, 40}
{1, 32, 35, 43}
{1, 32, 35, 40}
{1, 32, 35, 37}
{1, 32, 33, 42}
{1, 31, 32, 50}
{1, 30, 35, 37}
{1, 30, 32, 37}
{1, 28, 35, 42}
{1, 28, 32, 42}
{1, 28, 32, 35}
{1, 25, 32, 35}
{1, 15, 30, 35}
{1, 11, 35, 37}
{1, 11, 32, 37}
{1, 11, 30, 37}
{1, 11, 26, 41}
{1, 11, 20, 32}
{1, 11, 14, 32}
{1, 9, 42, 48}
{1, 9, 39, 40}
{1, 9, 38, 41}
{1, 9, 35, 48}
{1, 9, 35, 40}
{1, 9, 35, 38}
{1, 9, 32, 40}
{1, 9, 31, 50}
{1, 9, 31, 32}
{1, 9, 20, 32}
{1, 9, 11, 20}
{1, 8, 41, 50}
{1, 8, 41, 42}
{1, 8, 39, 41}
{1, 8, 22, 41}
{1, 8, 15, 35}
{1, 8, 15, 30}
{1, 8, 11, 27}
{1, 8, 11, 26}
{1, 6, 32, 42}
{1, 6, 8, 42}
{1, 6, 8, 32}
{1, 5, 42, 48}
{1, 5, 35, 50}
{1, 5, 35, 48}
{1, 5, 35, 43}
{1, 5, 35, 41}
{1, 5, 32, 43}
{1, 5, 23, 41}
{1, 5, 11, 26}
{1, 5, 9, 48}
{1, 4, 9, 35}
{1, 2, 11, 50}
{1, 2, 5, 50}
